task_id_list	courier_id	total_score	willingness
T0000	C000	32.030	0.4839
T0000	C007	40.303	0.8071
T0000	C009	47.922	0.2260
T0000	C010	63.737	0.2422
T0000	C012	26.254	0.1998
T0000	C013	49.124	0.1698
T0000	C014	65.988	0.6224
T0000	C015	38.041	0.6830
T0000	C017	68.085	0.3751
T0000,T0001	C012	38.623	0.6730
T0000,T0001	C015	55.428	0.8327
T0000,T0001,T0002	C003	56.140	0.2680
T0000,T0001,T0002	C012	59.111	0.2813
T0000,T0001,T0002	C015	66.576	0.2420
T0001	C000	69.078	0.6885
T0001	C001	30.207	0.1180
T0001	C006	43.807	0.7832
T0001	C009	52.727	0.1831
T0001	C011	63.515	0.6289
T0001	C013	33.118	0.7843
T0001	C016	60.307	0.5498
T0001	C017	78.440	0.7000
T0001,T0002	C001	33.134	0.2709
T0001,T0002	C004	54.901	0.6277
T0001,T0002	C010	55.219	0.8196
T0002	C001	67.049	0.7688
T0002	C003	54.411	0.5472
T0002	C004	56.934	0.4193
T0002	C005	49.414	0.6628
T0002	C006	69.304	0.5661
T0002	C008	29.496	0.3686
T0002	C010	49.717	0.1825
T0002	C011	46.366	0.5288
T0002	C012	73.647	0.1857
T0002	C014	40.692	0.3587
T0002	C016	57.361	0.1478
T0002,T0003	C002	53.951	0.7980
T0002,T0003	C008	33.033	0.1652
T0002,T0003	C011	43.673	0.6714
T0003	C002	54.736	0.4540
T0003	C003	35.038	0.6117
T0003	C006	69.809	0.8209
T0003	C007	83.437	0.2570
T0003	C008	72.947	0.3899
T0003	C009	31.216	0.3571
T0003	C010	55.596	0.7122
T0003	C011	54.929	0.7978
T0003	C012	67.867	0.5025
T0003	C013	81.611	0.6840
T0003	C016	38.135	0.4274
T0003	C017	34.785	0.3490
T0003,T0004	C000	38.046	0.4141
T0003,T0004	C009	39.416	0.7472
T0003,T0004	C012	38.157	0.1792
T0003,T0004	C015	49.729	0.2451
T0003,T0004,T0005	C000	69.639	0.5708
T0003,T0004,T0005	C015	59.802	0.1053
T0004	C004	63.085	0.1674
T0004	C008	45.558	0.1281
T0004	C010	51.027	0.8361
T0004	C011	80.338	0.5390
T0004	C012	41.928	0.1080
T0004	C014	54.523	0.1601
T0004	C015	60.894	0.4238
T0004	C016	58.511	0.6887
T0004	C017	92.834	0.3450
T0004,T0005	C004	44.465	0.2209
T0004,T0005	C007	49.034	0.7755
T0004,T0005	C010	55.922	0.6016
T0004,T0005	C016	42.951	0.1369
T0005	C000	61.883	0.8092
T0005	C001	34.726	0.7053
T0005	C002	32.891	0.5226
T0005	C003	46.384	0.4205
T0005	C004	66.322	0.8139
T0005	C006	46.981	0.2998
T0005	C007	37.368	0.3964
T0005	C008	37.846	0.6577
T0005	C009	42.304	0.7720
T0005	C012	60.349	0.3005
T0005	C015	63.125	0.4197
T0005	C016	53.972	0.8088
T0005	C017	69.916	0.7465
T0005,T0006	C011	39.358	0.1668
T0005,T0006	C014	31.028	0.1340
T0005,T0006	C017	42.791	0.6428
T0006	C000	63.719	0.6257
T0006	C005	66.284	0.7608
T0006	C006	40.872	0.3256
T0006	C007	44.670	0.6169
T0006	C008	56.626	0.4831
T0006	C009	35.625	0.4292
T0006	C010	60.345	0.8303
T0006	C012	40.298	0.5931
T0006,T0007	C000	45.323	0.4026
T0006,T0007	C003	46.834	0.5669
T0006,T0007	C009	53.118	0.4623
T0006,T0007	C012	49.676	0.7124
T0006,T0007	C015	43.449	0.3425
T0006,T0007,T0008	C000	61.886	0.3407
T0006,T0007,T0008	C003	65.581	0.5096
T0006,T0007,T0008	C006	67.678	0.5899
T0007	C000	67.233	0.6549
T0007	C002	56.745	0.6038
T0007	C003	56.321	0.2226
T0007	C009	40.517	0.3209
T0007	C011	35.955	0.7763
T0007	C012	69.721	0.3179
T0007	C013	56.700	0.3768
T0007	C016	32.791	0.6435
T0007,T0008	C004	43.610	0.5657
T0007,T0008	C007	52.753	0.2081
T0007,T0008	C010	48.426	0.7490
T0007,T0008	C013	54.055	0.7113
T0007,T0008	C016	35.618	0.5474
T0008	C000	36.225	0.4191
T0008	C001	58.362	0.3581
T0008	C009	58.267	0.2660
T0008	C011	70.002	0.5978
T0008	C013	61.118	0.7055
T0008	C015	67.583	0.6642
T0008	C016	71.864	0.2555
T0008	C017	62.326	0.4770
T0008,T0009	C002	38.393	0.6473
T0008,T0009	C008	32.335	0.5371
T0008,T0009	C014	54.648	0.3532
T0008,T0009	C017	41.248	0.3677
T0009	C001	56.813	0.3658
T0009	C002	51.826	0.3782
T0009	C003	29.537	0.5823
T0009	C004	72.132	0.7080
T0009	C005	64.011	0.1268
T0009	C006	26.929	0.4949
T0009	C011	78.525	0.2041
T0009	C014	48.313	0.8083
T0009	C017	78.940	0.6014
T0009,T0010	C003	33.173	0.4560
T0009,T0010	C006	55.168	0.1187
T0009,T0010	C012	39.753	0.2299
T0009,T0010,T0011	C003	52.960	0.2960
T0009,T0010,T0011	C006	74.439	0.2798
T0009,T0010,T0011	C012	59.297	0.5802
T0009,T0010,T0011	C015	59.845	0.6362
T0010	C004	28.455	0.5891
T0010	C006	64.149	0.4677
T0010	C008	57.001	0.1932
T0010	C009	39.573	0.4029
T0010	C010	49.605	0.5580
T0010	C011	60.138	0.7749
T0010	C012	63.451	0.5420
T0010	C013	41.089	0.3133
T0010	C015	42.880	0.4459
T0010,T0011	C007	50.547	0.1205
T0010,T0011	C010	30.036	0.8059
T0010,T0011	C013	44.391	0.4130
T0010,T0011	C016	36.592	0.6383
T0011	C001	75.701	0.2575
T0011	C002	37.835	0.7788
T0011	C006	82.300	0.8354
T0011	C012	66.265	0.1541
T0011	C013	54.875	0.4536
T0011	C014	34.102	0.8226
T0011	C015	36.604	0.5624
T0011	C016	43.190	0.5746
T0011	C017	48.185	0.5879
T0011,T0012	C002	49.549	0.4640
T0011,T0012	C005	34.369	0.2277
T0011,T0012	C011	43.696	0.1880
T0011,T0012	C014	52.629	0.7757
T0011,T0012	C017	47.214	0.5823
T0012	C000	15.100	0.8203
T0012	C001	39.433	0.6641
T0012	C002	52.804	0.6528
T0012	C003	53.609	0.2438
T0012	C004	70.529	0.1269
T0012	C005	87.892	0.5584
T0012	C006	32.716	0.1386
T0012	C007	46.385	0.4232
T0012	C010	81.480	0.4333
T0012	C011	94.488	0.2473
T0012	C015	50.789	0.7457
T0012,T0013	C003	41.467	0.6447
T0012,T0013	C006	42.883	0.3051
T0012,T0013	C009	45.848	0.6333
T0012,T0013,T0014	C000	69.754	0.2094
T0012,T0013,T0014	C003	59.487	0.3969
T0012,T0013,T0014	C006	62.916	0.5456
T0012,T0013,T0014	C009	66.988	0.1337
T0013	C004	55.587	0.8164
T0013	C005	83.172	0.7913
T0013	C006	44.609	0.5102
T0013	C007	28.465	0.1562
T0013	C008	55.046	0.5983
T0013	C009	55.395	0.5152
T0013	C011	78.166	0.2782
T0013	C012	59.586	0.1362
T0013	C013	20.750	0.2880
